,date,realtime_end,realtime_start,value
0,2020-04-01,2020-06-21,2020-06-21,-0.3935
1,2020-03-01,2020-06-21,2020-06-21,-0.04606
2,2020-02-01,2020-06-21,2020-06-21,0.14283
3,2020-01-01,2020-06-21,2020-06-21,0.15549
4,2019-12-01,2020-06-21,2020-06-21,0.23333
5,2019-11-01,2020-06-21,2020-06-21,0.05435
6,2019-10-01,2020-06-21,2020-06-21,0.12669
7,2019-09-01,2020-06-21,2020-06-21,0.05177
8,2019-08-01,2020-06-21,2020-06-21,0.13318
9,2019-07-01,2020-06-21,2020-06-21,0.206
10,2019-06-01,2020-06-21,2020-06-21,0.25682
11,2019-05-01,2020-06-21,2020-06-21,0.11687
12,2019-04-01,2020-06-21,2020-06-21,0.24513
13,2019-03-01,2020-06-21,2020-06-21,0.05952
14,2019-02-01,2020-06-21,2020-06-21,0.03789
15,2019-01-01,2020-06-21,2020-06-21,0.0361
