,Release_M,Release_D,Release_Y,Actual_M,Release_H,Actual,Forecast,Prev
0,Sep,01,2020,Aug,09:45,0,0,53.6
1,Aug,21,2020,Aug,09:45,53.6,51.9,50.9
2,Aug,03,2020,Jul,09:45,50.9,51.3,49.8
3,Jul,24,2020,Jul,09:45,51.3,51.5,49.8
4,Jul,01,2020,Jun,09:45,49.8,49.6,39.8
5,Jun,23,2020,Jun,09:45,49.6,48.0,39.8
6,Jun,01,2020,May,09:45,39.8,39.8,36.1
7,May,21,2020,May,09:45,39.8,38.0,36.1
8,May,01,2020,Apr,09:45,36.1,36.9,48.5
9,Apr,23,2020,Apr,09:45,36.9,38.0,48.5
10,Apr,01,2020,Mar,09:45,48.5,49.2,50.7
11,Mar,24,2020,Mar,09:45,49.2,42.8,50.7
12,Mar,02,2020,Feb,10:45,50.7,50.8,51.9
13,Feb,21,2020,Feb,10:45,50.8,51.5,51.9
14,Feb,03,2020,Jan,10:45,51.9,51.7,52.4
15,Jan,24,2020,Jan,10:45,51.7,52.5,52.4
16,Jan,02,2020,Dec,10:45,52.4,52.5,52.6
17,Dec,16,2019,Dec,10:45,52.5,52.6,52.6
18,Dec,02,2019,Nov,10:45,52.6,52.2,52.2
19,Nov,22,2019,Nov,10:45,52.2,51.5,51.3
20,Nov,01,2019,Oct,09:45,51.3,51.5,51.1
21,Oct,24,2019,Oct,09:45,51.5,50.7,51.1
22,Oct,01,2019,Sep,09:45,51.1,51.0,50.3
23,Sep,23,2019,Sep,09:45,51.0,50.3,50.3
24,Sep,03,2019,Aug,09:45,50.3,49.9,49.9
25,Aug,22,2019,Aug,09:45,49.9,50.5,50.4
26,Aug,01,2019,Jul,09:45,50.4,50.0,50.0
27,Jul,24,2019,Jul,09:45,50.0,51.0,50.6
28,Jul,01,2019,Jun,09:45,50.6,50.1,50.1
29,Jun,21,2019,Jun,09:45,50.1,50.5,50.5
30,Jun,03,2019,May,09:45,50.5,50.6,50.6
31,May,23,2019,May,09:45,50.6,52.5,52.6
32,May,01,2019,Apr,09:45,52.6,52.4,52.4
33,Apr,18,2019,Apr,09:45,52.4,52.8,52.4
34,Apr,01,2019,Mar,09:45,52.4,52.5,52.5
35,Mar,22,2019,Mar,09:45,52.5,53.5,53.0
36,Mar,01,2019,Feb,10:45,53.0,53.7,53.7
37,Feb,21,2019,Feb,10:45,53.7,54.9,54.9
